,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,1711048000,1711098000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280250000,1280300000,10000000,10000000,100000,150000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
31,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
61,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
91,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
121,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
151,1711048000,1711098000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280250000,1280300000,10000000,10000000,100000,150000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
181,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
211,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
241,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
271,1640998000,1641098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,1200000000,1200000000,1200100000,1200100000,1210200000,1210300000,10000000,10000000,100000,200000,0,0,100000,100000,1200000000,1200000000,1200100000,1200100000,10000010,10100010,10000000,10000000,10,100010
301,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
331,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
361,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
391,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
421,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
451,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
481,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
511,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
541,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
571,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
601,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
631,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
661,1711048000,1711098000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280250000,1280300000,10000000,10000000,100000,150000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
691,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
721,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
751,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
781,1640998000,1641098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,1200000000,1200000000,1200100000,1200100000,1210200000,1210300000,10000000,10000000,100000,200000,0,0,100000,100000,1200000000,1200000000,1200100000,1200100000,10000010,10100010,10000000,10000000,10,100010
811,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
841,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
871,1641198000,1641298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,1200000000,1200000000,1200200000,1200200000,1210400000,1210500000,10000000,10000000,200000,300000,0,0,200000,200000,1200000000,1200000000,1200200000,1200200000,10000010,10100010,10000000,10000000,10,100010
901,1711098000,1711148000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,1270000000,1270000000,1270150000,1270150000,1280300000,1280350000,10000000,10000000,150000,200000,0,0,150000,150000,1270000000,1270000000,1270150000,1270150000,10000010,10250030,10000000,10000000,10,250030
