,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,465834000,465884000,10000000,10000000,100000,150000,145584000,145584000,150000,150000,310000000,310000000,310150000,310150000,320250000,320300000,10000000,10000000,100000,150000,0,0,150000,150000,310000000,310000000,310150000,310150000,10000010,10250030,10000000,10000000,10,250030
31,465884000,465934000,10000000,10000000,150000,200000,145584000,145584000,150000,150000,310000000,310000000,310150000,310150000,320300000,320350000,10000000,10000000,150000,200000,0,0,150000,150000,310000000,310000000,310150000,310150000,10000010,10250030,10000000,10000000,10,250030
61,435984000,436084000,10000000,10000000,200000,300000,145584000,145584000,200000,200000,280000000,280000000,280200000,280200000,290400000,290500000,10000000,10000000,200000,300000,0,0,200000,200000,280000000,280000000,280200000,280200000,10000010,10100010,10000000,10000000,10,100010
91,435984000,436084000,10000000,10000000,200000,300000,145584000,145584000,200000,200000,280000000,280000000,280200000,280200000,290400000,290500000,10000000,10000000,200000,300000,0,0,200000,200000,280000000,280000000,280200000,280200000,10000010,10100010,10000000,10000000,10,100010
121,465884000,465934000,10000000,10000000,150000,200000,145584000,145584000,150000,150000,310000000,310000000,310150000,310150000,320300000,320350000,10000000,10000000,150000,200000,0,0,150000,150000,310000000,310000000,310150000,310150000,10000010,10250030,10000000,10000000,10,250030
151,465884000,465934000,10000000,10000000,150000,200000,145584000,145584000,150000,150000,310000000,310000000,310150000,310150000,320300000,320350000,10000000,10000000,150000,200000,0,0,150000,150000,310000000,310000000,310150000,310150000,10000010,10250030,10000000,10000000,10,250030
181,435984000,436084000,10000000,10000000,200000,300000,145584000,145584000,200000,200000,280000000,280000000,280200000,280200000,290400000,290500000,10000000,10000000,200000,300000,0,0,200000,200000,280000000,280000000,280200000,280200000,10000010,10100010,10000000,10000000,10,100010
211,435984000,436084000,10000000,10000000,200000,300000,145584000,145584000,200000,200000,280000000,280000000,280200000,280200000,290400000,290500000,10000000,10000000,200000,300000,0,0,200000,200000,280000000,280000000,280200000,280200000,10000010,10100010,10000000,10000000,10,100010
241,465884000,465934000,10000000,10000000,150000,200000,145584000,145584000,150000,150000,310000000,310000000,310150000,310150000,320300000,320350000,10000000,10000000,150000,200000,0,0,150000,150000,310000000,310000000,310150000,310150000,10000010,10250030,10000000,10000000,10,250030
271,155684000,592536000,10000000,10000000,100000,200000,145584000,582336000,0,0,0,0,0,0,10100000,10200000,10000000,10000000,100000,200000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
