,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1,177834000,177884000,1000000,1000000,100000,150000,145584000,145584000,150000,150000,31000000,31000000,31150000,31150000,32250000,32300000,1000000,1000000,100000,150000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1250030,1000000,1000000,10,250030
31,177884000,177934000,1000000,1000000,150000,200000,145584000,145584000,150000,150000,31000000,31000000,31150000,31150000,32300000,32350000,1000000,1000000,150000,200000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1250030,1000000,1000000,10,250030
61,174984000,175084000,1000000,1000000,200000,300000,145584000,145584000,200000,200000,28000000,28000000,28200000,28200000,29400000,29500000,1000000,1000000,200000,300000,0,0,200000,200000,28000000,28000000,28200000,28200000,1000010,1100010,1000000,1000000,10,100010
91,174984000,175084000,1000000,1000000,200000,300000,145584000,145584000,200000,200000,28000000,28000000,28200000,28200000,29400000,29500000,1000000,1000000,200000,300000,0,0,200000,200000,28000000,28000000,28200000,28200000,1000010,1100010,1000000,1000000,10,100010
121,177884000,177934000,1000000,1000000,150000,200000,145584000,145584000,150000,150000,31000000,31000000,31150000,31150000,32300000,32350000,1000000,1000000,150000,200000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1250030,1000000,1000000,10,250030
151,177884000,177934000,1000000,1000000,150000,200000,145584000,145584000,150000,150000,31000000,31000000,31150000,31150000,32300000,32350000,1000000,1000000,150000,200000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1250030,1000000,1000000,10,250030
181,174984000,175084000,1000000,1000000,200000,300000,145584000,145584000,200000,200000,28000000,28000000,28200000,28200000,29400000,29500000,1000000,1000000,200000,300000,0,0,200000,200000,28000000,28000000,28200000,28200000,1000010,1100010,1000000,1000000,10,100010
211,174984000,175084000,1000000,1000000,200000,300000,145584000,145584000,200000,200000,28000000,28000000,28200000,28200000,29400000,29500000,1000000,1000000,200000,300000,0,0,200000,200000,28000000,28000000,28200000,28200000,1000010,1100010,1000000,1000000,10,100010
241,177884000,177934000,1000000,1000000,150000,200000,145584000,145584000,150000,150000,31000000,31000000,31150000,31150000,32300000,32350000,1000000,1000000,150000,200000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1250030,1000000,1000000,10,250030
271,146684000,583536000,1000000,1000000,100000,200000,145584000,582336000,0,0,0,0,0,0,1100000,1200000,1000000,1000000,100000,200000,0,0,0,0,0,0,0,0,1000010,1000000,1000000,1000000,10,0
301,177884000,1197122000,1000000,1000000,150000,300000,145584000,1164672000,150000,150000,31000000,31000000,31150000,31150000,32300000,32450000,1000000,1000000,150000,300000,0,0,150000,150000,31000000,31000000,31150000,31150000,1000010,1150020,1000000,1000000,10,150020
