,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
161,128,3008.0,16.0,48.0
162,128,3008.0,16.0,48.0
163,128,3008.0,16.0,48.0
164,128,3008.0,16.0,48.0
165,128,3008.0,16.0,48.0
166,128,3008.0,16.0,48.0
167,128,3008.0,16.0,48.0
168,128,3008.0,16.0,48.0
169,128,3008.0,16.0,48.0
170,128,3008.0,16.0,48.0
171,128,3008.0,16.0,48.0
172,128,3008.0,16.0,48.0
173,128,3008.0,16.0,48.0
174,128,3008.0,16.0,48.0
175,128,3008.0,16.0,48.0
176,128,3008.0,16.0,48.0
177,128,3008.0,16.0,48.0
178,128,3008.0,16.0,48.0
179,128,3008.0,16.0,48.0
180,128,3008.0,16.0,48.0
181,128,3008.0,16.0,48.0
182,128,3008.0,16.0,48.0
183,128,3008.0,16.0,48.0
184,128,3008.0,16.0,48.0
185,128,3008.0,16.0,48.0
186,128,3008.0,16.0,48.0
187,128,3008.0,16.0,48.0
188,128,3008.0,16.0,48.0
189,128,3008.0,16.0,48.0
190,128,3008.0,16.0,48.0
191,128,3008.0,16.0,48.0
192,128,3008.0,16.0,48.0
193,128,3008.0,16.0,48.0
194,128,3008.0,16.0,48.0
195,128,3008.0,16.0,48.0
196,128,3008.0,16.0,48.0
197,128,3008.0,16.0,48.0
198,128,3008.0,16.0,48.0
199,128,3008.0,16.0,48.0
200,128,3008.0,16.0,48.0
201,128,3008.0,16.0,48.0
202,128,3008.0,16.0,48.0
203,128,3008.0,16.0,48.0
204,128,3008.0,16.0,48.0
205,128,3008.0,16.0,48.0
206,128,3008.0,16.0,48.0
207,128,3008.0,16.0,48.0
208,128,3008.0,16.0,48.0
209,128,3008.0,16.0,48.0
210,128,3008.0,16.0,48.0
211,128,3008.0,16.0,48.0
212,128,3008.0,16.0,48.0
213,128,3008.0,16.0,48.0
214,128,3008.0,16.0,48.0
215,128,3008.0,16.0,48.0
216,128,3008.0,16.0,48.0
217,128,3008.0,16.0,48.0
218,128,3008.0,16.0,48.0
219,128,3008.0,16.0,48.0
220,128,3008.0,16.0,48.0
221,128,3008.0,16.0,48.0
222,128,3008.0,16.0,48.0
223,128,3008.0,16.0,48.0
224,128,3008.0,16.0,48.0
225,128,3008.0,16.0,48.0
226,128,3008.0,16.0,48.0
227,128,3008.0,16.0,48.0
228,128,3008.0,16.0,48.0
229,128,3008.0,16.0,48.0
230,128,3008.0,16.0,48.0
231,128,3008.0,16.0,48.0
232,128,3008.0,16.0,48.0
233,128,3008.0,16.0,48.0
234,128,3008.0,16.0,48.0
235,128,3008.0,16.0,48.0
236,128,3008.0,16.0,48.0
